COIN 25 01:15:49 -5hrs,UNKNOWN VIEWS,POSITIVE VIEWS,NEGATIVE VIEWS,UNKNOWN COUNT,GOOD COUNT,BAD COUNT,PERCENT UP,START BTC PRICE,START USD PRICE (Mar-24-1009PM-2018)
BTS,0,0,0,0,0,0,-3.49%,1.8820774772990694e-05,0.161566
VERI,1290,0,0,2,0,0,-2.13%,0.02409006983557479,206.80
MKR,0,0,0,0,0,0,-4.21%,0.07887750525659767,677.12
DOGE,0,0,0,1,0,0,-0.83%,4.1342194316467566e-07,0.003549
RHOC,0,0,0,1,0,0,-4.64%,0.00012813866933816378,1.10
AE,0,0,0,0,0,0,-3.31%,0.00019337290100122895,1.66
REP,162,0,68,1,0,1,-4.19%,0.004004915865314609,34.38
BTM,0,0,0,0,0,0,-5.76%,8.220095638043205e-05,0.705650
DCR,0,0,0,0,0,0,-2.83%,0.006001549313001998,51.52
ZIL,0,0,0,0,0,0,-1.92%,6.086936262660973e-06,0.052253
